Rank,price,propertyAddress,typeOfProperty,noOfBeds,foundFloorPlanImage,mapLocation,area,priceRank,areaRank,roomRank,Rank Sum,NW,£/m2
308,595000,"Lytton Road, New Barnet",Semi-Detached,3,https://media.rightmove.co.uk/dir/73k/72792/124877357/72792_103482000322_FLP_00_0000.png,https://www.rightmove.co.uk/properties/124877357#/map?channel=RES_BUY,779,258.5,394.5,82,735,FALSE,
309,385000,"Bedford Road, London, N15",Terraced,2,https://media.rightmove.co.uk/dir/166k/165956/127342265/165956_31811895_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127342265#/map?channel=RES_BUY,926,6.5,312,418,736.5,FALSE,
310,515000,"Hydefield Close, London",End of Terrace,3,https://media.rightmove.co.uk/dir/7k/6487/126875444/6487_31781133_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126875444#/map?channel=RES_BUY,0,130.5,524.5,82,737,FALSE,
311,585000,"Colindale Avenue, Colindale, NW9",Terraced,4,https://media.rightmove.co.uk/dir/163k/162890/127098932/162890_ANDER_003066_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127098932#/map?channel=RES_BUY,442,249,482,9,740,TRUE,
312,550000,"Highfield Road, London, N21",Terraced,3,https://media.rightmove.co.uk/dir/95k/94804/126961724/94804_DJ_FLP_00_0000.png,https://www.rightmove.co.uk/properties/126961724#/map?channel=RES_BUY,494,180,478,82,740,FALSE,1113.360324
313,625000,"CHILTERN WORKS, N15 5HY, Tottenham, London, N15",Mews,3,https://media.rightmove.co.uk/dir/167k/166334/127426280/166334_1215318_FLP_00_0000.png,https://www.rightmove.co.uk/properties/127426280#/map?channel=RES_BUY,883,321,337.5,82,740.5,FALSE,707.8142695
314,700000,"Denzil Road, London, NW10",Terraced,3,https://media.rightmove.co.uk/dir/11k/10007/124956344/10007_24944399_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124956344#/map?channel=RES_BUY,1162,531.5,128.5,82,742,TRUE,602.4096386
315,675000,"Mark Road, Wood Green, London, N22",Terraced,3,https://media.rightmove.co.uk/dir/167k/166334/127802327/166334_1215458_FLP_00_0000.png,https://www.rightmove.co.uk/properties/127802327#/map?channel=RES_BUY,1042,458,207,82,747,FALSE,647.7927063
316,700000,"Truro Road, London, N22",Terraced,3,https://media.rightmove.co.uk/dir/37k/36308/125521610/36308_HAR220487_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125521610#/map?channel=RES_BUY,1152,531.5,134,82,747.5,FALSE,
317,700000,"Linksway, London",Terraced,3,https://media.rightmove.co.uk/dir/45k/44870/124690292/44870_31620519_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124690292#/map?channel=RES_BUY,1148,531.5,136,82,749.5,FALSE,
318,650000,"Florence Street, London, NW4",End of Terrace,3,https://media.rightmove.co.uk/dir/86k/85138/126322943/85138_229557S_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126322943#/map?channel=RES_BUY,974,401,267,82,750,TRUE,667.3511294
319,675000,"Lodge Lane, North Finchley, London, N12",Terraced,3,https://media.rightmove.co.uk/dir/1k/349/127950476/349_NFI220135_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127950476#/map?channel=RES_BUY,1038,458,213,82,753,FALSE,
320,600000,"Hay Lane, Kingsbury, NW9",Semi-Detached,4,https://media.rightmove.co.uk/dir/163k/162890/85437591/162890_ANDER_002833_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/85437591#/map?channel=RES_BUY,631,283.5,460.5,9,753,TRUE,950.8716323
321,650000,"Selborne Gardens, London, NW4",Semi-Detached,3,https://media.rightmove.co.uk/dir/7k/6769/127511744/6769_GGN220102_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127511744#/map?channel=RES_BUY,970,401,270.5,82,753.5,TRUE,670.1030928
322,700000,"Somaford Grove, Barnet",Semi-Detached,3,https://media.rightmove.co.uk/dir/2k/1950/128403539/1950_WTS105850_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128403539#/map?channel=RES_BUY,1138,531.5,145,82,758.5,FALSE,
323,550000,"Stirling Road, Harringay, N22",Terraced,2,https://media.rightmove.co.uk/dir/204k/203468/121471943/203468_1321375-1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/121471943#/map?channel=RES_BUY,1111,180,161,418,759,FALSE,
324,575000,"Meadowbank Road, Kingsbury, NW9",Terraced,3,https://media.rightmove.co.uk/dir/163k/162890/127315364/162890_ANDER_003076_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127315364#/map?channel=RES_BUY,645,222.5,455,82,759.5,TRUE,891.4728682
325,685000,"Rowley Road, Harringay, London, N15",End of Terrace,3,https://media.rightmove.co.uk/dir/74k/73589/124031438/73589_HAR200077_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124031438#/map?channel=RES_BUY,1069,485,193.5,82,760.5,FALSE,640.7857811
326,650000,"Bunns Lane, Mill Hill, London, NW7",Semi-Detached,3,https://media.rightmove.co.uk/dir/8k/7313/127920755/7313_MIH170177_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127920755#/map?channel=RES_BUY,962,401,277.5,82,760.5,TRUE,
327,535000,"Manor Road., Tottenham",House,3,https://media.rightmove.co.uk/dir/9k/8164/125509475/8164_31683684_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125509475#/map?channel=RES_BUY,0,155.5,524.5,82,762,FALSE,#DIV/0!
328,475000,"Percival Road, Enfield, EN1",Terraced,2,https://media.rightmove.co.uk/dir/238k/237770/128531696/237770_ENF220128_FLP_00_0000.png,https://www.rightmove.co.uk/properties/128531696#/map?channel=RES_BUY,978,83.5,263,418,764.5,FALSE,485.6850716
329,700000,"Gladstone Avenue, London, N22",Terraced,3,https://media.rightmove.co.uk/dir/182k/181745/125973182/181745_RX186314_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125973182#/map?channel=RES_BUY,1124,531.5,153,82,766.5,FALSE,622.7758007
330,475000,"Lakeside Road, Palmers Green",Flat,2,https://media.rightmove.co.uk/dir/56k/55531/128384738/55531_2271695_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128384738#/map?channel=RES_BUY,976,83.5,265,418,766.5,FALSE,486.6803279
331,420000,"St. Edmunds Road, London",Terraced,2,https://media.rightmove.co.uk/dir/75k/74120/85802937/74120_31723241_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/85802937#/map?channel=RES_BUY,904,27.5,323,418,768.5,FALSE,
332,700000,"Madeira Road, Palmers Green, N13",End of Terrace,3,https://media.rightmove.co.uk/dir/83k/82874/125770838/82874_31701005_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125770838#/map?channel=RES_BUY,1106,531.5,163,82,776.5,FALSE,632.9113924
333,650000,"Selborne Gardens, Hendon",Semi-Detached,3,https://media.rightmove.co.uk/dir/247k/246527/127567457/246527_OPH1003090_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127567457#/map?channel=RES_BUY,940,401,295,82,778,FALSE,691.4893617
334,600000,"Brompton Mews, London, N12",Terraced,2,https://media.rightmove.co.uk/dir/91k/90137/108658394/90137_MHI210070_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/108658394#/map?channel=RES_BUY,1276,283.5,77.5,418,779,FALSE,
335,700000,"Colney Hatch Lane, London, N11",House,3,https://media.rightmove.co.uk/dir/14k/13105/125920088/13105_NFI220078_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125920088#/map?channel=RES_BUY,1103,531.5,166,82,779.5,FALSE,
336,650000,"Fairfield Way, Barnet, Herts, EN5",End of Terrace,3,https://media.rightmove.co.uk/dir/23k/22260/128148335/22260_BAR220204_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128148335#/map?channel=RES_BUY,938,401,297,82,780,FALSE,692.9637527
337,635000,"North Hill, Highgate",House,3,https://media.rightmove.co.uk/dir/19k/18930/127167950/18930_31800868_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127167950#/map?channel=RES_BUY,857,344.5,354,82,780.5,FALSE,
338,650000,"Stanley Road, London",Terraced,3,https://media.rightmove.co.uk/dir/56k/55513/128560019/55513_2271408_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128560019#/map?channel=RES_BUY,937,401,299,82,782,FALSE,
339,650000,"Cockfosters Road, Hadley Wood, Hertfordshire, EN4",Terraced,3,https://media.rightmove.co.uk/dir/89k/88409/126681521/88409_HAW220080_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126681521#/map?channel=RES_BUY,935,401,300,82,783,FALSE,695.1871658
340,700000,"Gladstone Avenue, Wood Green, N22",Terraced,3,https://media.rightmove.co.uk/dir/37k/36308/128467913/36308_HAR220709_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128467913#/map?channel=RES_BUY,1098,531.5,171,82,784.5,FALSE,
341,700000,"The Causeway, East Finchley",End of Terrace,3,https://media.rightmove.co.uk/dir/13k/12569/121375892/12569_31367860_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/121375892#/map?channel=RES_BUY,1098,531.5,171,82,784.5,FALSE,637.5227687
342,550000,"Burleigh Road, Enfield",Terraced,3,https://media.rightmove.co.uk/dir/13k/12585/128113898/12585_31874181_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128113898#/map?channel=RES_BUY,0,180,524.5,82,786.5,FALSE,#DIV/0!
343,550000,"Sherringham Avenue, London",Terraced,3,https://media.rightmove.co.uk/dir/9k/8164/125428190/8164_31677766_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125428190#/map?channel=RES_BUY,0,180,524.5,82,786.5,FALSE,#DIV/0!
344,600000,"Rugby Road, London, NW9",Terraced,3,https://media.rightmove.co.uk/dir/66k/65598/128198036/65598_KBS220453_FLP_00_0000.png,https://www.rightmove.co.uk/properties/128198036#/map?channel=RES_BUY,724,283.5,422.5,82,788,TRUE,828.7292818
345,635000,"Old Kenton Lane, Kingsbury",Semi-Detached,3,https://media.rightmove.co.uk/dir/244k/243590/126641873/243590_Zjosephproperty0000478876_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126641873#/map?channel=RES_BUY,847,344.5,362,82,788.5,FALSE,749.7048406
346,650000,"High Street, Harlesden",Terraced,4,https://media.rightmove.co.uk/dir/51k/50343/125145953/50343_31657990_FLP_00_0001.jpeg,https://www.rightmove.co.uk/properties/125145953#/map?channel=RES_BUY,809,401,379.5,9,789.5,FALSE,803.461063
347,450000,"Landseer Road, Enfield, EN1",Terraced,2,https://media.rightmove.co.uk/dir/204k/203429/125441675/203429_1396797-1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125441675#/map?channel=RES_BUY,910,52.5,319,418,789.5,FALSE,494.5054945
348,650000,"High Street, Kensal Green, London, NW10",Terraced,4,https://media.rightmove.co.uk/dir/72k/71401/127679177/71401_1216454_FLP_00_0000.png,https://www.rightmove.co.uk/properties/127679177#/map?channel=RES_BUY,809,401,379.5,9,789.5,TRUE,803.461063
349,625000,"Riverside Place, New Southgate, N11",End of Terrace,3,https://media.rightmove.co.uk/dir/39k/38757/123659774/38757_addison_400861028_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/123659774#/map?channel=RES_BUY,796,321,388,82,791,FALSE,
350,525000,"Cranley Gardens, London, N13",Flat,2,https://media.rightmove.co.uk/dir/204k/203468/128341127/203468_1395056-1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128341127#/map?channel=RES_BUY,1011,142,232.5,418,792.5,FALSE,519.2878338
351,675000,"Alexandra Road, London, NW4",End of Terrace,3,https://media.rightmove.co.uk/dir/7k/6769/124152437/6769_GGN060083_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124152437#/map?channel=RES_BUY,988,458,252.5,82,792.5,TRUE,683.1983806
352,675000,"Church Hill Road, East Barnet EN4",Semi-Detached,3,https://media.rightmove.co.uk/dir/24k/23909/126528980/23909_mantlestates_766936655_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126528980#/map?channel=RES_BUY,987,458,255,82,795,FALSE,683.8905775
353,675000,"Randall Avenue, Neasden, NW2",Semi-Detached,3,https://media.rightmove.co.uk/dir/92k/91847/127046159/91847_WGN220035_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127046159#/map?channel=RES_BUY,987,458,255,82,795,TRUE,683.8905775
354,700000,"Farmleigh, Southgate",Semi-Detached,3,https://media.rightmove.co.uk/dir/56k/55531/128016137/55531_2271578_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128016137#/map?channel=RES_BUY,1085,531.5,182.5,82,796,FALSE,
355,650000,"Russell Lane, Whetstone, London",Semi-Detached,3,https://media.rightmove.co.uk/dir/2k/1950/127927958/1950_WTS105713_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127927958#/map?channel=RES_BUY,920,401,315,82,798,FALSE,
356,700000,"Tottenhall Road, Palmers Green, London, N13",Detached,3,https://media.rightmove.co.uk/dir/31k/30656/126813041/30656_PAG150528_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126813041#/map?channel=RES_BUY,1080,531.5,186,82,799.5,FALSE,648.1481481
357,650000,"Crest Road, London, NW2",Terraced,3,https://media.rightmove.co.uk/dir/204k/203015/127107047/203015_1435887-1_FLP_00_0001.jpeg,https://www.rightmove.co.uk/properties/127107047#/map?channel=RES_BUY,914,401,318,82,801,TRUE,711.1597374
358,700000,"Finchley Park, London",Cottage,3,https://media.rightmove.co.uk/dir/8k/7034/85942695/7034_1487_AUSC_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/85942695#/map?channel=RES_BUY,1076,531.5,189,82,802.5,FALSE,
359,500000,"All Souls Avenue, Kensal Rise",Flat,2,https://media.rightmove.co.uk/dir/51k/50343/85525221/50343_31553602_FLP_00_0004.jpeg,https://www.rightmove.co.uk/properties/85525221#/map?channel=RES_BUY,970,114.5,270.5,418,803,FALSE,515.4639175
360,699995,"Cleveland Gardens, Cricklewood, London, NW2 1DY",House,3,https://media.rightmove.co.uk/dir/92k/91493/128288003/91493_638853_FLP_00_0000.png,https://www.rightmove.co.uk/properties/128288003#/map?channel=RES_BUY,1032,504,218,82,804,TRUE,678.2897287
361,700000,"Brunswick Park Gardens, New Southgate, London, N11",Semi-Detached,3,https://media.rightmove.co.uk/dir/14k/13108/127337039/13108_WHT090213_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127337039#/map?channel=RES_BUY,1070,531.5,192,82,805.5,FALSE,654.2056075
362,599950,"Hillside, Kingsbury, NW9",Semi-Detached,3,https://media.rightmove.co.uk/dir/163k/162890/128030486/162890_ANDER_001529_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128030486#/map?channel=RES_BUY,631,264,460.5,82,806.5,TRUE,950.792393
363,600000,"Lyndhurst Road, London",Terraced,5,https://media.rightmove.co.uk/dir/205k/204362/121295759/204362_283997_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/121295759#/map?channel=RES_BUY,0,283.5,524.5,1,809,FALSE,
364,650000,"Cecil Court, Barnet, EN5",Semi-Detached,3,https://media.rightmove.co.uk/dir/244k/243608/125441657/243608_HSS239772_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125441657#/map?channel=RES_BUY,902,401,327,82,810,FALSE,720.6208426
365,650000,"Stanley Road, Bounds Green, N11",Terraced,3,https://media.rightmove.co.uk/dir/45k/44858/125361947/44858_101975010336_FLP_00_0000.png,https://www.rightmove.co.uk/properties/125361947#/map?channel=RES_BUY,899,401,328.5,82,811.5,FALSE,723.025584
366,450000,"Bracknell Close, London, N22",Terraced,2,https://media.rightmove.co.uk/dir/204k/203468/127286576/203468_1435008-1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127286576#/map?channel=RES_BUY,875,52.5,342,418,812.5,FALSE,
367,389950,"Sunnyside Road North, Edmonton, N9",Terraced,2,https://media.rightmove.co.uk/dir/25k/24386/85807755/24386_11622726_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/85807755#/map?channel=RES_BUY,797,9,386.5,418,813.5,FALSE,
368,599000,"Farrant Avenue, London, N22 6PG",Terraced,3,https://media.rightmove.co.uk/dir/54k/53310/128358905/53310_farrantavenue3130_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128358905#/map?channel=RES_BUY,573,260,472,82,814,FALSE,1045.375218
369,385000,"Elmcroft Avenue, London",Terraced,2,https://media.rightmove.co.uk/dir/25k/24386/128154068/24386_11723031_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128154068#/map?channel=RES_BUY,785,6.5,390,418,814.5,FALSE,490.4458599
370,675000,"Wycherley Crescent, New Barnet, Barnet, EN5",Semi-Detached,3,https://media.rightmove.co.uk/dir/241k/240566/128651930/240566_NOV220359_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128651930#/map?channel=RES_BUY,963,458,276,82,816,FALSE,700.9345794
371,600000,"Fawood Avenue, London",End of Terrace,4,https://media.rightmove.co.uk/dir/12k/11607/125999147/11607_0222_HRT022211000_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125999147#/map?channel=RES_BUY,0,283.5,524.5,9,817,FALSE,#DIV/0!
372,700000,"Theobalds Avenue, London",Terraced,3,https://media.rightmove.co.uk/dir/2k/1921/121773191/1921_NFY106230_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/121773191#/map?channel=RES_BUY,1043,531.5,204,82,817.5,FALSE,671.1409396
373,400000,"Raynham Avenue, London, N18",Terraced,2,https://media.rightmove.co.uk/dir/204k/203468/127378430/203468_1368572-1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127378430#/map?channel=RES_BUY,804,18.5,383,418,819.5,FALSE,497.5124378
374,600000,"Rays Avenue, London, N18",End of Terrace,2,https://media.rightmove.co.uk/dir/205k/204362/125746550/204362_305096_FLP_00_0000.png,https://www.rightmove.co.uk/properties/125746550#/map?channel=RES_BUY,1184,283.5,118,418,819.5,FALSE,506.7567568
375,449995,"Bracknell Close, N22",Terraced,2,https://media.rightmove.co.uk/dir/41k/40349/85496673/40349_ENW000015613_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/85496673#/map?channel=RES_BUY,843,42,363,418,823,FALSE,
376,650000,"Loxwood Road, London, N17",End of Terrace,3,https://media.rightmove.co.uk/dir/1k/582/127062467/582_TOT220047_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127062467#/map?channel=RES_BUY,870,401,344,82,827,FALSE,
377,650000,"Langham Road, London, N15",Terraced,3,https://media.rightmove.co.uk/dir/1k/582/128495018/582_TOT210021_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128495018#/map?channel=RES_BUY,868,401,345,82,828,FALSE,
378,700000,"Farmleigh, Southgate, London, N14",Semi-Detached,3,https://media.rightmove.co.uk/dir/158k/157739/124723358/157739_SOU210178_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124723358#/map?channel=RES_BUY,1036,531.5,214.5,82,828,FALSE,
379,575000,"Brodie Road, Enfield",End of Terrace,3,https://media.rightmove.co.uk/dir/7k/6487/126321362/6487_31742110_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126321362#/map?channel=RES_BUY,0,222.5,524.5,82,829,FALSE,
380,575000,"Briar Close, London",Terraced,3,https://media.rightmove.co.uk/dir/12k/11485/127413797/11485_0203_HRT020309788_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127413797#/map?channel=RES_BUY,0,222.5,524.5,82,829,FALSE,#DIV/0!
381,575000,"College Park, College Park, College Park, NW10",House,3,https://media.rightmove.co.uk/dir/64k/63858/128005229/63858_ABAC_016442_FLP_00_0000.png,https://www.rightmove.co.uk/properties/128005229#/map?channel=RES_BUY,0,222.5,524.5,82,829,TRUE,#DIV/0!
382,575000,"Commonwealth Road, London",End of Terrace,3,https://media.rightmove.co.uk/dir/9k/8164/127467479/8164_31824692_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127467479#/map?channel=RES_BUY,0,222.5,524.5,82,829,TRUE,#DIV/0!
383,700000,"Ollerton Road, Bounds Green",Terraced,3,https://media.rightmove.co.uk/dir/56k/55513/128510033/55513_2271955_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128510033#/map?channel=RES_BUY,1035,531.5,216,82,829.5,FALSE,676.3285024
384,675000,"Amber Close, County Gate, New Barnet, En5",Semi-Detached,3,https://media.rightmove.co.uk/dir/2k/1950/126976412/1950_WTS105975_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126976412#/map?channel=RES_BUY,949,458,290.5,82,830.5,FALSE,711.2750263
385,650000,"Daniel Place, London",Semi-Detached,3,https://media.rightmove.co.uk/dir/45k/44870/125628578/44870_31691187_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125628578#/map?channel=RES_BUY,865,401,349,82,832,FALSE,
386,400000,"Kimberley Road, Edmonton, N18",Terraced,2,https://media.rightmove.co.uk/dir/204k/203468/127417613/203468_1426582-1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127417613#/map?channel=RES_BUY,776,18.5,396.5,418,833,FALSE,
387,605000,"Eastbury Avenue, Enfield",Semi-Detached,4,https://media.rightmove.co.uk/dir/7k/6487/122576015/6487_31433158_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/122576015#/map?channel=RES_BUY,0,301.5,524.5,9,835,FALSE,
388,385000,"Sheldon Road, Edmonton N18",Terraced,2,https://media.rightmove.co.uk/dir/25k/24386/126325601/24386_11643547_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126325601#/map?channel=RES_BUY,748,6.5,410.5,418,835,FALSE,514.7058824
389,384995,"Elmcroft Avenue, London",Terraced,2,https://media.rightmove.co.uk/dir/123k/122323/128218184/122323_RS0227_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128218184#/map?channel=RES_BUY,734,4,419,418,841,FALSE,524.5163488
390,460000,"Bracknell Close, London, N22",Terraced,2,https://media.rightmove.co.uk/dir/244k/243608/85736469/243608_HSS232142_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/85736469#/map?channel=RES_BUY,853,64.5,358.5,418,841,FALSE,
391,424750,"Oakwood Close, London, N14",Maisonette,2,https://media.rightmove.co.uk/dir/236k/235946/126932672/235946_788_FLP_00_0000.png,https://www.rightmove.co.uk/properties/126932672#/map?channel=RES_BUY,779,29,394.5,418,841.5,FALSE,
392,675000,"Haldane Close, London",House,3,https://media.rightmove.co.uk/dir/48k/47660/127494395/47660_31826495_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127494395#/map?channel=RES_BUY,933,458,301.5,82,841.5,FALSE,723.4726688
393,650000,"Daniel Place, Brent Cross, NW4",End of Terrace,3,https://media.rightmove.co.uk/dir/204k/203015/125578370/203015_1398713-1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125578370#/map?channel=RES_BUY,853,401,358.5,82,841.5,TRUE,
394,390000,"Shawbury Close, London",Terraced,2,https://media.rightmove.co.uk/dir/205k/204362/127025039/204362_301146_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127025039#/map?channel=RES_BUY,743,10.5,414,418,842.5,FALSE,
395,700000,"Park Ridings, London, N8",Terraced,3,https://media.rightmove.co.uk/dir/204k/203468/128028011/203468_1447028-1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128028011#/map?channel=RES_BUY,1011,531.5,232.5,82,846,FALSE,
396,700000,"Dors Close, Kingsbury, NW9",End of Terrace,3,https://media.rightmove.co.uk/dir/204k/203015/126564776/203015_1425118-1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126564776#/map?channel=RES_BUY,1009,531.5,234.5,82,848,TRUE,693.7561943
397,685000,"Worcester Crescent, Mill Hill",Semi-Detached,3,https://media.rightmove.co.uk/dir/11k/10982/126553739/10982_RJE1002133_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126553739#/map?channel=RES_BUY,958,485,281.5,82,848.5,FALSE,715.0313152
398,650000,"Stoke Place, London, NW10",Cottage,2,https://media.rightmove.co.uk/dir/11k/10007/124092644/10007_24610551_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124092644#/map?channel=RES_BUY,1411,401,36,418,855,TRUE,460.6661942
399,700000,"Brampton Road, London, N15",Terraced,3,https://media.rightmove.co.uk/dir/79k/78489/128084090/78489_16367_AGRN_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128084090#/map?channel=RES_BUY,993,531.5,246,82,859.5,FALSE,
400,699000,"Elthorne Road, London, NW9",Semi-Detached,5,https://media.rightmove.co.uk/dir/16k/15508/125046029/15508_ethorneroad_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125046029#/map?channel=RES_BUY,839,495,367,1,863,TRUE,833.1346841
401,470000,"Alexandra Road, London, N10",House,2,https://media.rightmove.co.uk/dir/80k/79819/127566200/79819_MUS220107_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127566200#/map?channel=RES_BUY,816,72,375.5,418,865.5,FALSE,
402,675000,"Haldane Close, Muswell Hill, London, N10",Terraced,3,https://media.rightmove.co.uk/dir/91k/90137/124946351/90137_MHI200220_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124946351#/map?channel=RES_BUY,903,458,325.5,82,865.5,FALSE,
403,535000,"Eversley Park Road, N21",Terraced,2,https://media.rightmove.co.uk/dir/6k/5883/124783379/5883_addison_1323818129_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124783379#/map?channel=RES_BUY,945,155.5,294,418,867.5,FALSE,
404,599950,"Conduit Way, London",House,3,https://media.rightmove.co.uk/dir/91k/90035/127211117/90035_31805023_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127211117#/map?channel=RES_BUY,0,264,524.5,82,870.5,FALSE,
405,599950,"Smalley Close, London",End of Terrace,3,https://media.rightmove.co.uk/dir/45k/44786/124305791/44786_31594761_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124305791#/map?channel=RES_BUY,0,264,524.5,82,870.5,FALSE,
406,630000,"Lynton Gardens, Enfield",Terraced,4,https://media.rightmove.co.uk/dir/7k/6487/126454085/6487_31534689_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126454085#/map?channel=RES_BUY,0,337.5,524.5,9,871,FALSE,#DIV/0!
407,450000,"Deansbrook Road, Edgware, HA8",End of Terrace,2,https://media.rightmove.co.uk/dir/46k/45479/128663246/45479_EDG220148_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128663246#/map?channel=RES_BUY,768,52.5,401.5,418,872,FALSE,
408,400000,"Primrose Avenue, Enfield, Middlesex, EN2",End of Terrace,2,https://media.rightmove.co.uk/dir/6k/5921/85547499/5921_HKE160374_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/85547499#/map?channel=RES_BUY,693,18.5,437.5,418,874,FALSE,577.2005772
409,460000,"Bridge Road, Harlesden",Terraced,2,https://media.rightmove.co.uk/dir/238k/237251/114982313/237251_102658004986_FLP_00_0001.png,https://www.rightmove.co.uk/properties/114982313#/map?channel=RES_BUY,781,64.5,393,418,875.5,FALSE,588.9884763
410,550000,"Leighton Road, Enfield, EN1",Semi-Detached,2,https://media.rightmove.co.uk/dir/194k/193406/123195086/193406_6e9cbe4d-afca-47e0-9c53-b00d40f8689c_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/123195086#/map?channel=RES_BUY,962,180,277.5,418,875.5,FALSE,571.7255717
